FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
54,,1919,Person,1919-54,841.4,linens,,2.00705E+13,19190720,digitised,JA70003000,,1960698,8414858.121,13571.7472,,
540,,1919,Person,1919-540,314.1,linens,,2.00705E+13,19190811,digitised,JA70003000,,1960699,3141628.471,10885.832,,
544,,1919,Person,1919-544,43,linens,,2.00705E+13,19190925,assumed_shape,JA70003000,,1960700,430476.2966,2333.7503,,
547,,1919,Person,1919-547,211.3,linens,,2.00705E+13,19190920,digitised,JA70003000,,1960701,2113612.531,5783.0444,,
55,,1919,Person,1919-55,2818.7,linens,,2.00705E+13,19190611,digitised,JA70003000,,1960702,28187047.76,24849.3697,,
62a,,1919,Person,1919-62a,1729,linens,,2.00705E+13,19190820,assumed_shape,JA70003000,,1960724,17290475.12,19923.9833,,
63,,1919,Lightning,1919-63,1094.5,linens,,2.00705E+13,19190701,digitised,JA70003000,,1960725,10945439.66,16621.497,,
63,,1919,Person,1919-63,254.1,linens,,2.00705E+13,19190725,digitised,JA70003000,,1960726,2541618.063,6119.2016,,
64,,1919,Person,1919-64,2568.2,linens,,2.00705E+13,19190713,digitised,JA70003000,,1960733,25682895.8,25016.221,,
65,,1919,Person,1919-65,610.2,linens,,2.00705E+13,19190713,digitised,JA70003000,,1960734,6102144.053,13669.2386,,
65,,1919,Lightning,1919-65,330.8,linens,,2.00705E+13,19190716,digitised,JA70003000,,1960735,3308662.686,8941.7031,,
65,,1919,Person,1919-65,5871.5,linens,,2.00705E+13,19190809,digitised,JA70003000,,1960736,58715420.14,69798.4138,,
67,,1919,Person,1919-67,115.2,linens,,2.00705E+13,19190828,digitised,JA70003000,,1960737,1152980.621,4403.2833,,
67,,1919,Person,1919-67,51.8,linens,,2.00705E+13,19190723,digitised,JA70003000,,1960738,518262.8408,2842.0308,,
68a,,1919,Person,1919-68a,46.5,linens,,2.00705E+13,19190820,assumed_shape,JA70003000,,1960739,465025.692,3091.7106,,
69,,1919,Lightning,1919-69,4190.5,linens,,2.00705E+13,19190713,digitised,JA70003000,,1960740,41905087.09,44194.5887,,
69b,,1919,Person,1919-69b,1053.2,linens,,2.00705E+13,19190717,digitised,JA70003000,,1960741,10532752.14,15283.5408,,
7,,1919,Person,Jul-19,389.4,linens,,2.00705E+13,19190620,digitised,JA70003000,,1960742,3894622.242,8360.3761,,
70,,1919,Person,1919-70,35.9,linens,,2.00705E+13,19190811,digitised,JA70003000,,1960743,359929.138,2677.6475,,
